pipeline,resource,pattern,value
brownfield-land,,OrganistionURI,OrganisationURI
brownfield-land,,OrganisationURL,OrganisationURI
brownfield-land,,OrgansiationURI,OrganisationURI
brownfield-land,,OrganisationURI,OrganisationURI
brownfield-land,,OrgainisationURL,OrganisationURI
brownfield-land,,Organisation URL,OrganisationURI
brownfield-land,,Organisational URI,OrganisationURI
brownfield-land,,LPA URL,OrganisationURI
brownfield-land,,OPEN DATA WEBSITE,OrganisationURI
brownfield-land,,Organisati,OrganisationURI
brownfield-land,,Org. URI,OrganisationURI
brownfield-land,,OrgURL,OrganisationURI
brownfield-land,,Publisher URL,OrganisationURI
brownfield-land,,Publisher URI,OrganisationURI
brownfield-land,,URI,OrganisationURI
brownfield-land,,District,OrganisationURI
brownfield-land,,OrganistionLabel,OrganisationLabel
brownfield-land,,OragisationLabel,OrganisationLabel
brownfield-land,,Org. Label,OrganisationLabel
brownfield-land,,OrgLabel,OrganisationLabel
brownfield-land,,Alt_Ref,SiteReference
brownfield-land,,Brownfield Register Reference,SiteReference
brownfield-land,,Reference,SiteReference
brownfield-land,,LA SITE REF,SiteReference
brownfield-land,,SHLAA_REF,SiteReference
brownfield-land,,SiteRefere,SiteReference
brownfield-land,,Site reference,SiteReference
brownfield-land,,"SiteReference (also SHLAA Reference)",SiteReference
brownfield-land,,Site Ref,SiteReference
brownfield-land,,Address,SiteNameAddress
brownfield-land,,Location / Address,SiteNameAddress
brownfield-land,,Location___Address,SiteNameAddress
brownfield-land,,NAME AND ADDRESS OF SITE,SiteNameAddress
brownfield-land,,Site Address,SiteNameAddress
brownfield-land,,Site Name & Address,SiteNameAddress
brownfield-land,,Site Name Address,SiteNameAddress
brownfield-land,,"Site Name, Address",SiteNameAddress
brownfield-land,,"Site Name, Address, Postcode",SiteNameAddress
brownfield-land,,Site name/address,SiteNameAddress
brownfield-land,,SiteName Address,SiteNameAddress
brownfield-land,,SiteName/Address,SiteNameAddress
brownfield-land,,SiteNameAddress,SiteNameAddress
brownfield-land,,SiteNameAddresss,SiteNameAddress
brownfield-land,,Site_Address,SiteNameAddress
brownfield-land,,Title,SiteNameAddress
brownfield-land,,BNG_Easting,GeoX
brownfield-land,,GeoX (Longitude or east grid),GeoX
brownfield-land,,GeoX [East],GeoX
brownfield-land,,Grid reference easting,GeoX
brownfield-land,,Easting,GeoX
brownfield-land,,Eastings,GeoX
brownfield-land,,Eastings (Geo X),GeoX
brownfield-land,,OSEasting,GeoX
brownfield-land,,OSGB36Easting,GeoX
brownfield-land,,Locations Coordinates East West,GeoX
brownfield-land,,Location Coordinates North South,GeoY
brownfield-land,,BNG_Northing,GeoY
brownfield-land,,GeoY (Latitude or north grid),GeoY
brownfield-land,,GeoY [North],GeoY
brownfield-land,,Grid reference northing,GeoY
brownfield-land,,Northing,GeoY
brownfield-land,,Northings,GeoY
brownfield-land,,Northings (Geo Y),GeoY
brownfield-land,,OSNorthing,GeoY
brownfield-land,,OSGB36Northing,GeoY
brownfield-land,,Mapping link [SiteplanURL],SiteplanURL
brownfield-land,,PLAN OF SITE,SiteplanURL
brownfield-land,,Site Plan,SiteplanURL
brownfield-land,,Site Plan URL,SiteplanURL
brownfield-land,,SitePlanURL,SiteplanURL
brownfield-land,,Site plan (url),SiteplanURL
brownfield-land,,Site plan URL,SiteplanURL
brownfield-land,,Siteplan,SiteplanURL
brownfield-land,,Siteplan URL,SiteplanURL
brownfield-land,,SiteplanUR,SiteplanURL
brownfield-land,,SiteplanURI,SiteplanURL
brownfield-land,,Weblink,SiteplanURL
brownfield-land,,AREA (HA),Hectares
brownfield-land,,Area of Land in Hectares,Hectares
brownfield-land,,Developable area (ha),Hectares
brownfield-land,,Hectares (gross),Hectares
brownfield-land,,PDL area on the site (hectares),Hectares
brownfield-land,,Site Area in ha,Hectares
brownfield-land,,Site area (ha),Hectares
brownfield-land,,Total area (Hectares),Hectares
brownfield-land,,Total site area (hectares),Hectares
brownfield-land,,OwenrshipStatus,OwnershipStatus
brownfield-land,,"Ownership: PA_owner, not PA_own., mixed_o'ship, unknown",OwnershipStatus
brownfield-land,,Ownership,OwnershipStatus
brownfield-land,,"Hazardous Substances [as identifiied in Appl. form]",HazardousSubstances
brownfield-land,,Planning Permission Status,PlanningStatus
brownfield-land,,PLANNING STATUS,PlanningStatus
brownfield-land,,MINHOMES,MinNetDwellings
brownfield-land,,Min dwellings,MinNetDwellings
brownfield-land,,MINIMUM NET DWELLINGS,MinNetDwellings
brownfield-land,,Max dwellings,NetDwellingsRangeTo
brownfield-land,,MAXIMUM NET DWELLINGS,NetDwellingsRangeTo
brownfield-land,,NetDwellingsRangeForm,NetDwellingsRangeFrom
brownfield-land,,DevelopmentDescription,Notes
brownfield-land,,SiteInformation,Notes
brownfield-land,,Date first entered on the register,FirstAddedDate
brownfield-land,,DATE ENTERED ON REGISTER,FirstAddedDate
brownfield-land,,FirstAdded,FirstAddedDate
brownfield-land,,First Added Date,FirstAddedDate
brownfield-land,,LastUpdate,LastUpdatedDate
brownfield-land,,DATE LAST UPDATED,LastUpdatedDate
brownfield-land,,Date last updated on the register,LastUpdatedDate
brownfield-land,,Last Updated Date,LastUpdatedDate
brownfield-land,,LAND DELIVERABLE?,Deliverable
brownfield-land,,organisati,OrganisationURI
brownfield-land,,siterefere,SiteReference
brownfield-land,,sitenamead,SiteNameAddress
brownfield-land,,siteplanur,SiteplanURL
brownfield-land,,ownerships,OwnershipStatus
brownfield-land,,hectares,Hectares
brownfield-land,,planningst,PlanningStatus
brownfield-land,,permission,PermissionType
brownfield-land,,planninghi,PlanningHistory
brownfield-land,,deliverabl,Deliverable
brownfield-land,,netdwellin,NetDwellingsRangeFrom
brownfield-land,,netdwell_1,NetDwellingsRangeTo
brownfield-land,,hazardouss,HazardousSubstances


